Anchor Texts,164M,http://downloads.dbpedia.org/2016-10/core-i18n/en/anchor_text_en.ttl.bz2
Article Categories,226M,http://downloads.dbpedia.org/2016-10/core-i18n/en/article_categories_en.ttl.bz2
Article Templates,243M,http://downloads.dbpedia.org/2016-10/core-i18n/en/article_templates_en.ttl.bz2
Category Labels,16M,http://downloads.dbpedia.org/2016-10/core-i18n/en/category_labels_en.ttl.bz2
Citation Data,1.6G,http://downloads.dbpedia.org/2016-10/core-i18n/en/citation_data_en.ttl.bz2
Citation Links,256M,http://downloads.dbpedia.org/2016-10/core-i18n/en/citation_links_en.ttl.bz2
Commons Page Links,1M,http://downloads.dbpedia.org/2016-10/core-i18n/en/commons_page_links_en.ttl.bz2
Disambiguations,13M,http://downloads.dbpedia.org/2016-10/core-i18n/en/disambiguations_en.ttl.bz2
Equations in MathML,23M,http://downloads.dbpedia.org/2016-10/core-i18n/en/equations_en.ttl.bz2
External Links,160M,http://downloads.dbpedia.org/2016-10/core-i18n/en/external_links_en.ttl.bz2
Freebase Links,28M,http://downloads.dbpedia.org/2016-10/core-i18n/en/freebase_links_en.ttl.bz2
Genders,33M,http://downloads.dbpedia.org/2016-10/core-i18n/en/genders_en.ttl.bz2
Geo Coordinates,17M,http://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2
Geo Coordinates Mappingbased,17M,http://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2
Geonames Links,4M,http://downloads.dbpedia.org/2016-10/core-i18n/en/geonames_links_en.ttl.bz2
Homepages,12M,http://downloads.dbpedia.org/2016-10/core-i18n/en/homepages_en.ttl.bz2
Images,91M,http://downloads.dbpedia.org/2016-10/core-i18n/en/images_en.ttl.bz2
Infobox Properties,470M	,http://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_properties_en.ttl.bz2
Infobox Properties Mapped,260M,http://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_properties_mapped_en.ttl.bz2
Infobox Property Definitions,1M,http://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2
Instance Types,41M,http://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_en.ttl.bz2
Instance Types Sdtyped Dbo,20M,http://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_sdtyped_dbo_en.ttl.bz2
Instance Types Transitive,125M,http://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2
Interlanguage Links,339M,http://downloads.dbpedia.org/2016-10/core-i18n/en/interlanguage_links_en.ttl.bz2
Interlanguage Links between DBpedia Chapters,179M,http://downloads.dbpedia.org/2016-10/core-i18n/en/interlanguage_links_chapters_en.ttl.bz2
Labels,182M,http://downloads.dbpedia.org/2016-10/core-i18n/en/labels_en.ttl.bz2
Long Abstracts,781M,http://downloads.dbpedia.org/2016-10/core-i18n/en/long_abstracts_en.ttl.bz2
Mappingbased Literals,131M,http://downloads.dbpedia.org/2016-10/core-i18n/en/mappingbased_literals_en.ttl.bz2
Mappingbased Objects,165M,http://downloads.dbpedia.org/2016-10/core-i18n/en/mappingbased_objects_en.ttl.bz2
Mappingbased Objects Disjoint Domain,167M,http://downloads.dbpedia.org/2016-10/core-i18n/en/mappingbased_objects_disjoint_domain_en.ttl.bz2
Mappingbased Objects Disjoint Range,556M,http://downloads.dbpedia.org/2016-10/core-i18n/en/mappingbased_objects_disjoint_range_en.ttl.bz2
mappingbased objects uncleaned,165M,http://downloads.dbpedia.org/2016-10/core-i18n/en/mappingbased_objects_uncleaned_en.ttl.bz2
Nested Article Templates,35M,http://downloads.dbpedia.org/2016-10/core-i18n/en/article_templates_nested_en.ttl.bz2
NIF Context,4.3G,http://downloads.dbpedia.org/2016-10/core-i18n/en/nif_context_en.ttl.bz2
NIF page structure,2.7G,http://downloads.dbpedia.org/2016-10/core-i18n/en/nif_page_structure_en.ttl.bz2
NIF Text Links,5.8G,http://downloads.dbpedia.org/2016-10/core-i18n/en/nif_text_links_en.ttl.bz2
Out Degree,112M,http://downloads.dbpedia.org/2016-10/core-i18n/en/out_degree_en.ttl.bz2
Page Ids,168M,http://downloads.dbpedia.org/2016-10/core-i18n/en/page_ids_en.ttl.bz2
Page Length,123M,http://downloads.dbpedia.org/2016-10/core-i18n/en/page_length_en.ttl.bz2
Page Links,1.5G,http://downloads.dbpedia.org/2016-10/core-i18n/en/page_links_en.ttl.bz2
Person data,64M,http://downloads.dbpedia.org/2016-10/core-i18n/en/persondata_en.ttl.bz2
pnd,0M,http://downloads.dbpedia.org/2016-10/core-i18n/en/pnd_en.ttl.bz2
Raw html tables,2.1G,http://downloads.dbpedia.org/2016-10/core-i18n/en/raw_tables_en.ttl.bz2
Redirects,105M,http://downloads.dbpedia.org/2016-10/core-i18n/en/redirects_en.ttl.bz2
Revision Ids,189M,http://downloads.dbpedia.org/2016-10/core-i18n/en/revision_ids_en.ttl.bz2
Revision Uris,250M,http://downloads.dbpedia.org/2016-10/core-i18n/en/revision_uris_en.ttl.bz2
Rransitive Redirects,104M,http://downloads.dbpedia.org/2016-10/core-i18n/en/transitive_redirects_en.ttl.bz2
Short Abstracts,523M,http://downloads.dbpedia.org/2016-10/core-i18n/en/short_abstracts_en.ttl.bz2
SKOS Categories,44M,http://downloads.dbpedia.org/2016-10/core-i18n/en/skos_categories_en.ttl.bz2
Specific Mappingbased Properties,9M,http://downloads.dbpedia.org/2016-10/core-i18n/en/specific_mappingbased_properties_en.ttl.bz2
Template Parameters,4M,http://downloads.dbpedia.org/2016-10/core-i18n/en/template_parameters_en.ttl.bz2
Topical Concepts,2M,http://downloads.dbpedia.org/2016-10/core-i18n/en/topical_concepts_en.ttl.bz2
Uri Same As Iri,16M,http://downloads.dbpedia.org/2016-10/core-i18n/en/uri_same_as_iri_en.ttl.bz2
Wikipedia Links,303M,http://downloads.dbpedia.org/2016-10/core-i18n/en/wikipedia_links_en.ttl.bz2